edit_id,dataset,executor,metric_value,noise_floor,stable_witness_count,hard_violation,empirical_label,label_reason
A1,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
A2,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
A3,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
A4,DBPedia,gemini-2.5-pro,0.0714285714285714,0.0934056404454261,28,False,MAJOR,Derived from recalibrated empirical labels.
A5,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
B1,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
B2,DBPedia,gemini-2.5-pro,0.1428571428571428,0.0934056404454261,28,False,MAJOR,Derived from recalibrated empirical labels.
B3,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
B4,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
B5,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
B6,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
B7,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
C1,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
C2,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
C3,DBPedia,gemini-2.5-pro,0.1071428571428571,0.0934056404454261,28,False,MAJOR,Derived from recalibrated empirical labels.
C4,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
C5,DBPedia,gemini-2.5-pro,0.0,0.0934056404454261,28,False,PATCH,Derived from recalibrated empirical labels.
